substituent,SMILES for benzoic,SMILES for benzoate,Hammett Constant,SMILE Substituent,Isomer,Charge_acid,Multi_acid,Charge_benzoate,Multi_benzoate
CH2Br-m,C1=CC(=CC(=C1)CBr)C(=O)O,C1=CC(=CC(=C1)CBr)C(=O)[O-],0.12,[CH2]Br,1,0,1,-1,1
CH2Br-p,C1=CC(=CC=C1CBr)C(=O)O,C1=CC(=CC=C1CBr)C(=O)[O-],0.14,[CH2]Br,2,0,1,-1,1
CH2CH=CH2-m,O=C(O)C1=CC(CC=C)=CC=C1,O=C([O-])C1=CC(CC=C)=CC=C1,-0.11,[CH2]C=C,1,0,1,-1,1
CH2CH=CH2-p,O=C(O)C1=CC=C(CC=C)C=C1,O=C([O-])C1=CC=C(CC=C)C=C1,-0.14,[CH2]C=C,2,0,1,-1,1
CH2CH2CH3-m,CCCC1=CC=CC(=C1)C(=O)O,CCCC1=CC=CC(=C1)C(=O)[O-],-0.06,[CH2]CC,1,0,1,-1,1
CH2CH2CH3-p,CCCC1=CC=C(C=C1)C(=O)O,CCCC1=CC=C(C=C1)C(=O)[O-],-0.13,[CH2]CC,2,0,1,-1,1
CH2CH3-m,CCC1=CC=CC(=C1)C(=O)O,CCC1=CC=CC(=C1)C(=O)[O-],-0.07,[CH2]C,1,0,1,-1,1
CH2CH2NH3+ -m,O=C(O)C1=CC(CC[NH3+])=CC=C1,O=C([O-])C1=CC(CC[NH3+])=CC=C1,0.23,[CH2]C[NH3+],1,1,1,0,1
CH2CH3-p,CCC1=CC=C(C=C1)C(=O)O,CCC1=CC=C(C=C1)C(=O)[O-],-0.15,[CH2]C,2,0,1,-1,1
CH2Cl-m,C1=CC(=CC(=C1)CCl)C(=O)O,C1=CC(=CC(=C1)CCl)C(=O)[O-],0.11,[CH2]Cl,1,0,1,-1,1
CH2Cl-p,C1=CC(=CC=C1CCl)C(=O)O,C1=CC(=CC=C1CCl)C(=O)[O-],0.12,[CH2]Cl,2,0,1,-1,1
CH2CN-m,O=C(O)C1=CC(CC#N)=CC=C1,O=C([O-])C1=CC(CC#N)=CC=C1,0.16,[CH2]C#N,1,0,1,-1,1
CH2CN-p,O=C(O)C1=CC=C(CC#N)C=C1,O=C([O-])C1=CC=C(CC#N)C=C1,0.18,[CH2]C#N,2,0,1,-1,1
CH2CO2- -m,O=C(O)C1=CC(CC([O-])=O)=CC=C1,O=C([O-])C1=CC(CC([O-])=O)=CC=C1,0.07,[CH2]C([O-])=O,1,-1,1,-2,1
CH2CO2- -p,O=C(O)C1=CC=C(CC([O-])=O)C=C1,O=C([O-])C1=CC=C(CC([O-])=O)C=C1,-0.16,[CH2]C([O-])=O,2,-1,1,-2,1
CH2F-m,C1=CC(=CC(=C1)CF)C(=O)O,C1=CC(=CC(=C1)CF)C(=O)[O-],0.12,[CH2]F,1,0,1,-1,1
CH2F-p,C1=CC(=CC=C1CF)C(=O)O,C1=CC(=CC=C1CF)C(=O)[O-],0.11,[CH2]F,2,0,1,-1,1
CH2I-m,C1=CC(=CC(=C1)CI)C(=O)O,C1=CC(=CC(=C1)CI)C(=O)[O-],0.1,[CH2]I,1,0,1,-1,1
CH2I-p,C1=CC(=CC=C1CI)C(=O)O,C1=CC(=CC=C1CI)C(=O)[O-],0.11,[CH2]I,2,0,1,-1,1
CH2NH2-m,O=C(O)C1=CC=CC(CN)=C1,O=C([O-])C1=CC=CC(CN)=C1,-0.03,[CH2]N,1,0,1,-1,1
CH2NH2-p,O=C(O)C1=CC=C(CN)C=C1,O=C([O-])C1=CC=C(CN)C=C1,-0.11,[CH2]N,2,0,1,-1,1
CH2NH3+ -m,O=C(O)C1=CC(C[NH3+])=CC=C1,O=C([O-])C1=CC(C[NH3+])=CC=C1,0.59,[CH2][NH3+],1,1,1,0,1
CH2NH3+ -p,O=C(O)C1=CC=C(C[NH3+])C=C1,O=C([O-])C1=CC=C(C[NH3+])C=C1,0.53,[CH2][NH3+],2,1,1,0,1
CH2OH-m,O=C(O)C1=CC=CC(CO)=C1,O=C([O-])C1=CC=CC(CO)=C1,0,[CH2]O,1,0,1,-1,1
CH2OH-p,O=C(O)C1=CC=C(CO)C=C1,O=C([O-])C1=CC=C(CO)C=C1,0,[CH2]O,2,0,1,-1,1
CH2SCF3-m,O=C(O)C1=CC(CSC(F)(F)F)=CC=C1,O=C([O-])C1=CC(CSC(F)(F)F)=CC=C1,0.12,[CH2]SC(F)(F)F,1,0,1,-1,1
CH2SCF3-p,O=C(O)C1=CC=C(CSC(F)(F)F)C=C1,O=C([O-])C1=CC=C(CSC(F)(F)F)C=C1,0.15,[CH2]SC(F)(F)F,2,0,1,-1,1
CH2SCN-m,O=C(O)C1=CC(CSC#N)=CC=C1,O=C([O-])C1=CC(CSC#N)=CC=C1,0.12,[CH2]SC#N,1,0,1,-1,1
CH2SCN-p,O=C(O)C1=CC=C(CSC#N)C=C1,O=C([O-])C1=CC=C(CSC#N)C=C1,0.14,[CH2]SC#N,2,0,1,-1,1
CH2SO2CF3-m,O=C(O)c1cccc(CS(=O)(=O)C(F)(F)F)c1,O=C([O-])c1cccc(CS(=O)(=O)C(F)(F)F)c1,0.29,[CH2]S(=O)(=O)C(F)(F)F,1,0,1,-1,1
CH2SO2CF3-p,O=C(O)c1ccc(CS(=O)(=O)C(F)(F)F)cc1,O=C([O-])c1ccc(CS(=O)(=O)C(F)(F)F)cc1,0.31,[CH2]S(=O)(=O)C(F)(F)F,2,0,1,-1,1
CH2SOCF3-m,O=C(O)C1=CC(CS(C(F)(F)F)=O)=CC=C1,O=C([O-])C1=CC(CS(C(F)(F)F)=O)=CC=C1,0.25,[CH2]S(=O)C(F)(F)F,1,0,1,-1,1
CH2SOCF3-p,O=C(O)C1=CC=C(CS(C(F)(F)F)=O)C=C1,O=C([O-])C1=CC=C(CS(C(F)(F)F)=O)C=C1,0.24,[CH2]S(=O)C(F)(F)F,2,0,1,-1,1
CH2CH2NH3+ -p,O=C(O)C1=CC=C(CC[NH3+])C=C1,O=C([O-])C1=CC=C(CC[NH3+])C=C1,0.17,[CH2]C[NH3+],2,1,1,0,1
CH3-m,CC1=CC=CC(=C1)C(=O)O,CC1=CC=CC(=C1)C(=O)[O-],-0.07,[CH3],1,0,1,-1,1
CH3-p,CC1=CC=C(C=C1)C(=O)O,CC1=CC=C(C=C1)C(=O)[O-],-0.17,[CH2],2,0,1,-1,1
CHBr2-m,C1=CC(=CC(=C1)C(Br)Br)C(=O)O,C1=CC(=CC(=C1)C(Br)Br)C(=O)[O-],0.31,[CH](Br)Br,1,0,1,-1,1
CHBr2-p,C1=CC(=CC=C1C(=O)O)C(Br)Br,C1=CC(=CC=C1C(=O)[O-])C(Br)Br,0.32,[CH](Br)Br,2,0,1,-1,1
CHCl2-m,C1=CC(=CC(=C1)C(Cl)Cl)C(=O)O,C1=CC(=CC(=C1)C(Cl)Cl)C(=O)[O-],0.31,[CH](Cl)Cl,1,0,1,-1,1
CHCl2-p,C1=C(C(=CC(=C1)C(=O)O))C(Cl)Cl,C1=C(C(=CC(=C1)C(=O)[O-]))C(Cl)Cl,0.32,[CH](Cl)Cl,2,0,1,-1,1
CHI2-m,C1=CC(=CC(=C1)C(I)I)C(=O)O,C1=CC(=CC(=C1)C(I)I)C(=O)[O-],0.26,[CH](I)I,1,0,1,-1,1
CHI2-p,C1=C(C(=CC(=C1)C(=O)O))C(I)I,C1=C(C(=CC(=C1)C(=O)[O-]))C(I)I,0.26,[CH](I)I,2,0,1,-1,1
CHO-m,C1=CC(=CC(=C1)C(=O)O)C=O,C1=CC(=CC(=C1)C(=O)[O-])C=O,0.35,[CH]=O,1,0,1,-1,1
CHO-p,C1=CC(=CC=C1C=O)C(=O)O,C1=CC(=CC=C1C=O)C(=O)[O-],0.42,[CH]=O,2,0,1,-1,1
Cl-m,C1=CC(=CC(=C1)Cl)C(=O)O,C1=CC(=CC(=C1)Cl)C(=O)[O-],0.37,[Cl],1,0,1,-1,1
Cl-p,C1=CC(=CC=C1C(=O)O)Cl,C1=CC(=CC=C1C(=O)[O-])Cl,0.23,[Cl],2,0,1,-1,1
CMe=CH2-m,O=C(O)C1=CC(C(C)=C)=CC=C1,O=C([O-])C1=CC(C(C)=C)=CC=C1,0.09,[C](C)=C,1,0,1,-1,1
CMe=CH2-p,O=C(O)C1=CC=C(C(C)=C)C=C1,O=C([O-])C1=CC=C(C(C)=C)C=C1,0.05,[C](C)=C,2,0,1,-1,1
CN-m,C1=CC(=CC(=C1)C(=O)O)C#N,C1=CC(=CC(=C1)C(=O)[O-])C#N,0.56,[C]#N,1,0,1,-1,1
CN-p,C1=CC(=CC=C1C#N)C(=O)O,C1=CC(=CC=C1C#N)C(=O)[O-],0.66,[C]#N,2,0,1,-1,1
COCF3-m,O=C(O)C1=CC=CC(C(C(F)(F)F)=O)=C1,O=C([O-])C1=CC=CC(C(C(F)(F)F)=O)=C1,0.63,[C](=O)C(F)(F)F,1,0,1,-1,1
COCF3-p,O=C(O)C1=CC=C(C(C(F)(F)F)=O)C=C1,O=C([O-])C1=CC=C(C(C(F)(F)F)=O)C=C1,0.8,[C](=O)C(F)(F)F,2,0,1,-1,1
COCH3-m,O=C(O)C1=CC=CC(C(C)=O)=C1,O=C([O-])C1=CC=CC(C(C)=O)=C1,0.38,[C](C)=O,1,0,1,-1,1
COCH3-p,O=C(O)C1=CC=C(C(C)=O)C=C1,O=C([O-])C1=CC=C(C(C)=O)C=C1,0.5,[C](C)=O,2,0,1,-1,1
COCl-m,O=C(O)C1=CC(C(Cl)=O)=CC=C1,O=C([O-])C1=CC(C(Cl)=O)=CC=C1,0.51,[C](Cl)=O,1,0,1,-1,1
COCl-p,O=C(O)C1=CC=C(C(Cl)=O)C=C1,O=C([O-])C1=CC=C(C(Cl)=O)C=C1,0.61,[C](Cl)=O,2,0,1,-1,1
COF-m,O=C(O)C1=CC(C(F)=O)=CC=C1,O=C([O-])C1=CC(C(F)=O)=CC=C1,0.55,[C](F)=O,1,0,1,-1,1
COF-p,O=C(O)C1=CC=C(C(F)=O)C=C1,O=C([O-])C1=CC=C(C(F)=O)C=C1,0.7,[C](F)=O,2,0,1,-1,1
CONH2-m,O=C(O)C1=CC=CC(C(N)=O)=C1,O=C([O-])C1=CC=CC(C(N)=O)=C1,0.28,[C](N)=O,1,0,1,-1,1
CONH2-p,O=C(O)C1=CC=C(C(N)=O)C=C1,O=C([O-])C1=CC=C(C(N)=O)C=C1,0.36,[C](N)=O,2,0,1,-1,1
CONHMe-m,O=C(O)C1=CC(C(NC)=O)=CC=C1,O=C([O-])C1=CC(C(NC)=O)=CC=C1,0.37,[C](NC)=O,1,0,1,-1,1
CONHMe-p,O=C(O)C1=CC=C(C(NC)=O)C=C1,O=C([O-])C1=CC=C(C(NC)=O)C=C1,0.3,[C](NC)=O,2,0,1,-1,1
COOH-m,C1=CC(=CC(=C1)C(=O)O)C(=O)O,C1=CC(=CC(=C1)C(=O)[O-])C(=O)[O-],0.37,[C](=O)O,1,0,1,-1,1
COOH-p,C1=CC(=CC=C1C(=O)O)C(=O)O,C1=CC(=CC=C1C(=O)[O-])C(=O)[O-],0.45,[C](=O)O,2,0,1,-1,1
COOMe-m,O=C(O)C1=CC(C(OC)=O)=CC=C1,O=C([O-])C1=CC(C(OC)=O)=CC=C1,0.37,[C](OC)=O,1,0,1,-1,1
COOMe-p,O=C(O)C1=CC=C(C(OC)=O)C=C1,O=C([O-])C1=CC=C(C(OC)=O)C=C1,0.45,[C](OC)=O,2,0,1,-1,1
CSNH2-m,O=C(O)C1=CC=CC(C(N)=S)=C1,O=C([O-])C1=CC=CC(C(N)=S)=C1,0.25,[C](N)=S,1,0,1,-1,1
CSNH2-p,O=C(O)C1=CC=C(C(N)=S)C=C1,O=C([O-])C1=CC=C(C(N)=S)C=C1,0.3,[C](N)=S,2,0,1,-1,1
CSNHMe-m,O=C(O)C1=CC(C(NC)=S)=CC=C1,O=C([O-])C1=CC(C(NC)=S)=CC=C1,0.3,[C](NC)=S,1,0,1,-1,1
CSNHMe-p,O=C(O)C1=CC=C(C(NC)=S)C=C1,O=C([O-])C1=CC=C(C(NC)=S)C=C1,0.34,[C](NC)=S,2,0,1,-1,1
cyclobutyl-m,C1CC(C1)C2=CC=CC(=C2)C(=O)O,C1CC(C1)C2=CC=CC(=C2)C(=O)[O-],-0.05,[C]1CC(C1),1,0,1,-1,1
cyclobutyl-p,C1CC(C1)C2=CC=C(C=C2)C(=O)O,C1CC(C1)C2=CC=C(C=C2)C(=O)[O-],-0.14,[C]1CC(C1),2,0,1,-1,1
cyclopropyl-m,C1CC1C2=CC=CC(=C2)C(=O)O,C1CC1C2=CC=CC(=C2)C(=O)[O-],-0.07,[C]1C(C1),1,0,1,-1,1
cyclopropyl-p,C1CC1C2=CC=C(C=C2)C(=O)O,C1CC1C2=CC=C(C=C2)C(=O)[O-],-0.21,[C]1C(C1),2,0,1,-1,1
F-m,C1=CC(=CC(=C1)F)C(=O)O,C1=CC(=CC(=C1)F)C(=O)[O-],0.34,[F],1,0,1,-1,1
F-p,C1=CC(=CC=C1C(=O)O)F,C1=CC(=CC=C1C(=O)[O-])F,0.06,[F],2,0,1,-1,1
GeBr3-m,O=C(O)C1=CC=CC([Ge](Br)(Br)Br)=C1,O=C([O-])C1=CC=CC([Ge](Br)(Br)Br)=C1,0.66,[Ge](Br)(Br)Br,1,0,1,-1,1
GeBr3-p,O=C(O)C1=CC=C([Ge](Br)(Br)Br)C=C1,O=C([O-])C1=CC=C([Ge](Br)(Br)Br)C=C1,0.73,[Ge](Br)(Br)Br,2,0,1,-1,1
GeCl3-m,O=C(O)C1=CC=CC([Ge](Cl)(Cl)Cl)=C1,O=C([O-])C1=CC=CC([Ge](Cl)(Cl)Cl)=C1,0.71,[Ge](Cl)(Cl)Cl,1,0,1,-1,1
GeCl3-p,O=C(O)C1=CC=C([Ge](Cl)(Cl)Cl)C=C1,O=C([O-])C1=CC=C([Ge](Cl)(Cl)Cl)C=C1,0.79,[Ge](Cl)(Cl)Cl,2,0,1,-1,1
GeF3-m,O=C(O)C1=CC=CC([Ge](F)(F)F)=C1,O=C([O-])C1=CC=CC([Ge](F)(F)F)=C1,0.85,[Ge](F)(F)F,1,0,1,-1,1
GeF3-p,O=C(O)C1=CC=C([Ge](F)(F)F)C=C1,O=C([O-])C1=CC=C([Ge](F)(F)F)C=C1,0.97,[Ge](F)(F)F,2,0,1,-1,1
GeH3 -m,O=C(O)C1=CC=CC([GeH3])=C1,O=C([O-])C1=CC=CC([GeH3])=C1,0,[Ge],1,0,1,-1,1
GeH3 -p,O=C(O)C1=CC=C([GeH3])C=C1,O=C([O-])C1=CC=C([GeH3])C=C1,0.01,[Ge],2,0,1,-1,1
CCH-m,C#CC1=CC(=CC=C1)C(=O)O,C#CC1=CC(=CC=C1)C(=O)[O-],0.21,[C]#C,1,0,1,-1,1
CCH-p,C#CC1=CC=C(C=C1)C(=O)O,C#CC1=CC=C(C=C1)C(=O)[O-],0.23,[C]#C,2,0,1,-1,1
HgCF3-m,O=C(O)C1=CC=CC([Hg]C(F)(F)F)=C1,O=C([O-])C1=CC=CC([Hg]C(F)(F)F)=C1,0.29,[Hg]C(F)(F)F,1,0,1,-1,1
HgCF3-p,O=C(O)C1=CC=C([Hg]C(F)(F)F)C=C1,O=C([O-])C1=CC=C([Hg]C(F)(F)F)C=C1,0.32,[Hg]C(F)(F)F,2,0,1,-1,1
HgCH3-m,O=C(O)C1=CC=CC([Hg]C)=C1,O=C([O-])C1=CC=CC([Hg]C)=C1,0.43,[Hg]C,1,0,1,-1,1
HgCH3-p,O=C(O)C1=CC=C([Hg]C)C=C1,O=C([O-])C1=CC=C([Hg]C)C=C1,0.1,[Hg]C,2,0,1,-1,1
HgCl-m,O=C(O)C1=CC=CC([Hg]Cl)=C1,O=C([O-])C1=CC=CC([Hg]Cl)=C1,0.33,[Hg]Cl,1,0,1,-1,1
HgCl-p,O=C(O)C1=CC=C([Hg]Cl)C=C1,O=C([O-])C1=CC=C([Hg]Cl)C=C1,0.35,[Hg]Cl,2,0,1,-1,1
HgCN-m,O=C(O)C1=CC([Hg]C#N)=CC=C1,O=C([O-])C1=CC([Hg]C#N)=CC=C1,0.28,[Hg]C#N,1,0,1,-1,1
HgCN-p,O=C(O)C1=CC=C([Hg]C#N)C=C1,O=C([O-])C1=CC=C([Hg]C#N)C=C1,0.34,[Hg]C#N,2,0,1,-1,1
HgF-m,O=C(O)C1=CC=CC([Hg]F)=C1,O=C([O-])C1=CC=CC([Hg]F)=C1,0.34,[Hg]F,1,0,1,-1,1
HgF-p,O=C(O)C1=CC=C([Hg]F)C=C1,O=C([O-])C1=CC=C([Hg]F)C=C1,0.33,[Hg]F,2,0,1,-1,1
HgSCF3-m,O=C(O)C1=CC=CC([Hg](C(F)(F)F)=S)=C1,O=C([O-])C1=CC=CC([Hg](C(F)(F)F)=S)=C1,0.39,[Hg](=S)C(F)(F)F,1,0,1,-1,1
HgSCF3-p,O=C(O)C1=CC=C([Hg](C(F)(F)F)=S)C=C1,O=C([O-])C1=CC=C([Hg](C(F)(F)F)=S)C=C1,0.42,[Hg](=S)C(F)(F)F,2,0,1,-1,1
H-m,O=C(O)C1=CC=CC([H])=C1,O=C([O-])C1=CC=CC([H])=C1,0,[H],1,0,1,-1,1
H-p,O=C(O)C1=CC=C([H])C=C1,O=C([O-])C1=CC=C([H])C=C1,0,[H],2,0,1,-1,1
ICl2-m,O=C(O)C1=CC(I(Cl)Cl)=CC=C1,O=C([O-])C1=CC(I(Cl)Cl)=CC=C1,1.1,[I](Cl)Cl,1,0,1,-1,1
ICl2-p,O=C(O)C1=CC=C(I(Cl)Cl)C=C1,O=C([O-])C1=CC=C(I(Cl)Cl)C=C1,1.11,[I](Cl)Cl,2,0,1,-1,1
IF2-m,O=C(O)C1=CC(I(F)F)=CC=C1,O=C([O-])C1=CC(I(F)F)=CC=C1,0.85,[I](F)F,1,0,1,-1,1
IF2-p,O=C(O)C1=CC=C(I(F)F)C=C1,O=C([O-])C1=CC=C(I(F)F)C=C1,0.83,[I](F)F,2,0,1,-1,1
IF4-m,O=C(O)C1=CC(I(F)(F)(F)F)=CC=C1,O=C([O-])C1=CC(I(F)(F)(F)F)=CC=C1,1.07,[I](F)(F)(F)F,1,0,1,-1,1
IF4-p,O=C(O)C1=CC=C(I(F)(F)(F)F)C=C1,O=C([O-])C1=CC=C(I(F)(F)(F)F)C=C1,1.15,[I](F)(F)(F)F,2,0,1,-1,1
I-m,C1=CC(=CC(=C1)I)C(=O)O,C1=CC(=CC(=C1)I)C(=O)[O-],0.35,[I],1,0,1,-1,1
IO2-m,O=C(O)C1=CC=CC(I(=O)=O)=C1,O=C([O-])C1=CC=CC(I(=O)=O)=C1,0.68,[I](=O)=O,1,0,1,-1,1
IO2-p,O=C(O)C1=CC=C(I(=O)=O)C=C1,O=C([O-])C1=CC=C(I(=O)=O)C=C1,0.78,[I](=O)=O,2,0,1,-1,1
IO-m,O=C(O)C1=CC(I=O)=CC=C1,O=C([O-])C1=CC(I=O)=CC=C1,0.58,[I]=O,1,0,1,-1,1
IO-p,O=C(O)C1=CC=C(I=O)C=C1,O=C([O-])C1=CC=C(I=O)C=C1,0.62,[I]=O,2,0,1,-1,1
I-p,C1=CC(=CC=C1C(=O)O)I,C1=CC(=CC=C1C(=O)[O-])I,0.18,[I],2,0,1,-1,1
isopropyl-m,CC(C)C1=CC=CC(=C1)C(=O)O,CC(C)C1=CC=CC(=C1)C(=O)[O-],-0.04,[CH](C)C,1,0,1,-1,1
isopropyl-p,CC(C)C1=CC=C(C=C1)C(=O)O,CC(C)C1=CC=C(C=C1)C(=O)[O-],-0.15,[CH](C)C,2,0,1,-1,1
N(COF)2-m,O=C(O)C1=CC=CC(N(C(F)=O)C(F)=O)=C1,O=C([O-])C1=CC=CC(N(C(F)=O)C(F)=O)=C1,0.58,[N](C(F)=O)C(F)=O,1,0,1,-1,1
N(COF)2-p,O=C(O)C1=CC=C(N(C(F)=O)C(F)=O)C=C1,O=C([O-])C1=CC=C(N(C(F)=O)C(F)=O)C=C1,0.57,[N](C(F)=O)C(F)=O,2,0,1,-1,1
